epoch,fold,loss,mae,repeat,val_loss,val_mae
0,1,0.25553181767463684,0.21087796986103058,1,0.18055593967437744,0.1423904150724411
1,1,0.17720843851566315,0.14098569750785828,1,0.16642847657203674,0.13190507888793945
2,1,0.1619710922241211,0.12885414063930511,1,0.1699231117963791,0.13814586400985718
3,1,0.1492948830127716,0.1187097504734993,1,0.16650065779685974,0.13707226514816284
4,1,0.14086952805519104,0.11246626079082489,1,0.1490115225315094,0.12159845978021622
5,1,0.13633258640766144,0.10981515049934387,1,0.13398760557174683,0.10831724107265472
6,1,0.12899863719940186,0.10409615188837051,1,0.1273338347673416,0.10316774249076843
7,1,0.12481272220611572,0.10129281878471375,1,0.12189698219299316,0.09902271628379822
8,1,0.12064985930919647,0.09835566580295563,1,0.11439541727304459,0.09265245497226715
9,1,0.11682277172803879,0.09559343010187149,1,0.11531960219144821,0.09458976238965988
10,1,0.11350838840007782,0.09322518110275269,1,0.11421142518520355,0.0943756029009819
11,1,0.1112135723233223,0.09176582098007202,1,0.13334259390830994,0.1142830103635788
12,1,0.10920692980289459,0.09050508588552475,1,0.12609516084194183,0.10771995037794113
13,1,0.10577677190303802,0.08770964294672012,1,0.12219660729169846,0.10444580763578415
14,1,0.10599358379840851,0.0884997546672821,1,0.11818080395460129,0.10094532370567322
15,1,0.103376105427742,0.08639301359653473,1,0.11032595485448837,0.09359792619943619
16,1,0.1023622676730156,0.0858285203576088,1,0.10492827743291855,0.08861864358186722
17,1,0.09964548051357269,0.08352923393249512,1,0.11229587346315384,0.09638217091560364
18,1,0.09954369068145752,0.08382508903741837,1,0.11141030490398407,0.09587923437356949
19,1,0.09805872291326523,0.08269175887107849,1,0.12009532749652863,0.10490390658378601
20,1,0.09644025564193726,0.08140372484922409,1,0.10540498048067093,0.0905127301812172
21,1,0.09435433149337769,0.07963591068983078,1,0.11050799489021301,0.09593614935874939
22,1,0.09486409276723862,0.08042090386152267,1,0.10237033665180206,0.0880543515086174
23,1,0.0929865837097168,0.0787946879863739,1,0.10451840609312057,0.09045485407114029
24,1,0.09222442656755447,0.07826615124940872,1,0.09907960146665573,0.08522629737854004
25,1,0.09043224155902863,0.07667994499206543,1,0.10738012194633484,0.09373324364423752
26,1,0.09003998339176178,0.07650236040353775,1,0.10748293250799179,0.09405633062124252
27,1,0.08802460879087448,0.07467957586050034,1,0.10430362820625305,0.09104344248771667
28,1,0.08925458043813705,0.0760781392455101,1,0.10958878695964813,0.09650810062885284
29,1,0.0877348929643631,0.0747266486287117,1,0.09857062995433807,0.08563251048326492
30,1,0.08599817007780075,0.07313568890094757,1,0.09551414102315903,0.08274773508310318
31,1,0.08685076236724854,0.0741276741027832,1,0.09688737988471985,0.08423126488924026
32,1,0.08479286730289459,0.07219833880662918,1,0.09826913475990295,0.08575443923473358
33,1,0.08425520360469818,0.07179136574268341,1,0.10669009387493134,0.0942830890417099
34,1,0.08369423449039459,0.07134337723255157,1,0.0996159091591835,0.0873263031244278
35,1,0.08321218192577362,0.07097595930099487,1,0.09880387783050537,0.08661296218633652
36,1,0.0824051946401596,0.07026771456003189,1,0.09352041780948639,0.08142244070768356
37,1,0.0819881409406662,0.06993264704942703,1,0.10687703639268875,0.09486144781112671
38,1,0.08142734318971634,0.06945781409740448,1,0.09295935183763504,0.08104896545410156
39,1,0.08206850290298462,0.07018233090639114,1,0.09905966371297836,0.08721642196178436
40,1,0.08076982200145721,0.06895878911018372,1,0.09782084077596664,0.08604253083467484
41,1,0.07945504039525986,0.06771130114793777,1,0.09937549382448196,0.08765512704849243
42,1,0.07961606234312057,0.0679236352443695,1,0.09301330894231796,0.08135145902633667
43,1,0.07955288141965866,0.0679386630654335,1,0.09647282212972641,0.08489249646663666
44,1,0.07880455255508423,0.06725680828094482,1,0.09913714230060577,0.08762737363576889
45,1,0.07776772975921631,0.06627661734819412,1,0.09148018062114716,0.08001553267240524
46,1,0.07776205241680145,0.06632040441036224,1,0.0922330915927887,0.0808144211769104
47,1,0.07658224552869797,0.06519534438848495,1,0.09266842156648636,0.08129198849201202
48,1,0.07669617235660553,0.06535700708627701,1,0.09035131335258484,0.07904858142137527
49,1,0.07621926814317703,0.06494140625,1,0.09512544423341751,0.08387212455272675
50,1,0.07549384236335754,0.0642666444182396,1,0.10361459106206894,0.092413529753685
51,1,0.07584670931100845,0.06465697288513184,1,0.09034153819084167,0.07917284220457077
52,1,0.07531020045280457,0.06416569650173187,1,0.09324046969413757,0.08211587369441986
53,1,0.07515472173690796,0.06403788924217224,1,0.10509395599365234,0.09399328380823135
54,1,0.07451656460762024,0.06343627721071243,1,0.10935133695602417,0.09829609096050262
55,1,0.07383503764867783,0.06278305500745773,1,0.0903296172618866,0.07928357273340225
56,1,0.07386025041341782,0.06284137070178986,1,0.09221569448709488,0.0812157690525055
57,1,0.07255179435014725,0.06157323718070984,1,0.09028041362762451,0.07931917905807495
58,1,0.0721980482339859,0.06125769391655922,1,0.1005694717168808,0.08965545892715454
59,1,0.07222137600183487,0.061324749141931534,1,0.092425636947155,0.08155122399330139
60,1,0.07162585109472275,0.06075445935130119,1,0.10119958221912384,0.090351402759552
61,1,0.07257106900215149,0.06173205003142357,1,0.09139429777860641,0.0805710181593895
62,1,0.07144085317850113,0.060629166662693024,1,0.08868040889501572,0.07787921279668808
63,1,0.07145296782255173,0.0606541633605957,1,0.08866968005895615,0.077886663377285
64,1,0.07032965123653412,0.059560686349868774,1,0.08797485381364822,0.07721979916095734
65,1,0.07254602760076523,0.06179073825478554,1,0.09112558513879776,0.08036911487579346
66,1,0.07043789327144623,0.059687837958335876,1,0.08944602310657501,0.07869299501180649
67,1,0.07018227875232697,0.059433601796627045,1,0.09131824225187302,0.0805809423327446
68,1,0.07014359533786774,0.0593983456492424,1,0.09078879654407501,0.08005493879318237
69,1,0.06805156171321869,0.05731748044490814,1,0.09898790717124939,0.08826002478599548
70,1,0.06854402273893356,0.05781581997871399,1,0.09575867652893066,0.08503571152687073
71,1,0.06886432319879532,0.05814775079488754,1,0.0918448343873024,0.08115077018737793
72,1,0.06753971427679062,0.056840453296899796,1,0.08669585734605789,0.07600872218608856
73,1,0.06695050746202469,0.05625586956739426,1,0.08895806968212128,0.07826048135757446
74,1,0.06678109616041183,0.05609411373734474,1,0.09128369390964508,0.08061068505048752
75,1,0.0666150152683258,0.05594417452812195,1,0.0929405465722084,0.08226129412651062
76,1,0.06644629687070847,0.05577549338340759,1,0.0875723659992218,0.07691141963005066
77,1,0.06509916484355927,0.05443838611245155,1,0.08637037128210068,0.0757102444767952
78,1,0.06623592972755432,0.05556990206241608,1,0.08600916713476181,0.0753353014588356
79,1,0.06507766991853714,0.05441076308488846,1,0.08481680601835251,0.07414654642343521
80,1,0.06469562649726868,0.05403315648436546,1,0.08991548418998718,0.07925954461097717
81,1,0.06422003358602524,0.05357718467712402,1,0.08775749802589417,0.0771254450082779
82,1,0.06509416550397873,0.05445968732237816,1,0.09210218489170074,0.0814591497182846
83,1,0.06469149142503738,0.05405675247311592,1,0.08570332825183868,0.07506700605154037
84,1,0.06548219919204712,0.05483853071928024,1,0.08952208608388901,0.07887667417526245
85,1,0.06367592513561249,0.05304649472236633,1,0.08651922643184662,0.07588870078325272
86,1,0.0642290785908699,0.05360199883580208,1,0.08502908051013947,0.07439514249563217
87,1,0.06331381946802139,0.052697815001010895,1,0.08856317400932312,0.07794582843780518
88,1,0.06337643414735794,0.052771441638469696,1,0.08831039816141129,0.07771597802639008
89,1,0.06274247169494629,0.05215369910001755,1,0.08587981015443802,0.0753023624420166
90,1,0.06280677020549774,0.05222463980317116,1,0.08808432519435883,0.0775139331817627
91,1,0.06295197457075119,0.05238354951143265,1,0.08663292974233627,0.0760703980922699
92,1,0.06238573417067528,0.05182874947786331,1,0.0922255590558052,0.08167561888694763
93,1,0.06147569790482521,0.05094003677368164,1,0.0894162654876709,0.07889580726623535
94,1,0.06210223212838173,0.05157552286982536,1,0.08537835627794266,0.07486746460199356
95,1,0.061511583626270294,0.050993721932172775,1,0.09386388212442398,0.08335642516613007
96,1,0.061386462301015854,0.050883036106824875,1,0.08732873946428299,0.07682310044765472
97,1,0.06087183952331543,0.05037657544016838,1,0.08463910967111588,0.07414761185646057
98,1,0.061259496957063675,0.05076862499117851,1,0.08699990808963776,0.07650836557149887
99,1,0.06082652136683464,0.05034555494785309,1,0.08465368300676346,0.07417473196983337
0,2,0.26056423783302307,0.21884159743785858,1,0.1846400499343872,0.14946109056472778
1,2,0.1749953329563141,0.14145366847515106,1,0.15841776132583618,0.1262700855731964
2,2,0.1594816893339157,0.1284412443637848,1,0.15145127475261688,0.12146242707967758
3,2,0.14997828006744385,0.12092000246047974,1,0.14287279546260834,0.11473073810338974
4,2,0.14306391775608063,0.11574263125658035,1,0.1414680927991867,0.11495637148618698
5,2,0.13651706278324127,0.11072871088981628,1,0.1308397799730301,0.10577820241451263
6,2,0.1306975781917572,0.1062830463051796,1,0.13487085700035095,0.11109894514083862
7,2,0.12654893100261688,0.10337698459625244,1,0.1280534267425537,0.10546110570430756
8,2,0.12363219261169434,0.10158024728298187,1,0.13515949249267578,0.11364655941724777
9,2,0.11899436265230179,0.09797284007072449,1,0.12008162587881088,0.09954614192247391
10,2,0.11464409530162811,0.09454140067100525,1,0.12618489563465118,0.10651339590549469
11,2,0.114375539124012,0.09507783502340317,1,0.12450245022773743,0.10558097064495087
12,2,0.11005449295043945,0.09146108478307724,1,0.10913136601448059,0.09084455668926239
13,2,0.10806480050086975,0.09010361135005951,1,0.11083229631185532,0.09317241609096527
14,2,0.10625723749399185,0.08889079093933105,1,0.11894011497497559,0.10185015201568604
15,2,0.1040777787566185,0.08724218606948853,1,0.11156923323869705,0.09497175365686417
16,2,0.10239393264055252,0.08603508025407791,1,0.11124219000339508,0.09510193020105362
17,2,0.10056257992982864,0.084636390209198,1,0.11472946405410767,0.09900601208209991
18,2,0.09970308095216751,0.08416154235601425,1,0.10114673525094986,0.0857926607131958
19,2,0.09877897053956985,0.08359742164611816,1,0.109856016933918,0.09484550356864929
20,2,0.0975448340177536,0.08268962055444717,1,0.10415025800466537,0.08945538848638535
21,2,0.09584980458021164,0.081311896443367,1,0.09922206401824951,0.08482436835765839
22,2,0.09490027278661728,0.08065148442983627,1,0.1165662631392479,0.10244708508253098
23,2,0.09425599873065948,0.08026453852653503,1,0.1260787546634674,0.11222131550312042
24,2,0.09327525645494461,0.07952549308538437,1,0.10027817636728287,0.08664503693580627
25,2,0.09234373271465302,0.07881669700145721,1,0.11398988217115402,0.1005735918879509
26,2,0.09104505181312561,0.07772644609212875,1,0.09880325198173523,0.08557764440774918
