epoch,auc,fold,loss,repeat,val_auc,val_loss
0,0.8312515020370483,1,0.49449193477630615,1,0.8604583144187927,0.4550513029098511
1,0.8614341616630554,1,0.4475771188735962,1,0.872521162033081,0.43341362476348877
2,0.8733050227165222,1,0.4276443421840668,1,0.883321225643158,0.41555774211883545
3,0.8838430643081665,1,0.4102650284767151,1,0.8874498605728149,0.41056951880455017
4,0.8923710584640503,1,0.39505988359451294,1,0.8908348083496094,0.4004489779472351
5,0.8993145227432251,1,0.3829090893268585,1,0.8951138257980347,0.39970970153808594
6,0.9059197902679443,1,0.37130916118621826,1,0.8981161117553711,0.39952802658081055
7,0.911370038986206,1,0.3610847294330597,1,0.9011197090148926,0.3810454308986664
8,0.917470395565033,1,0.34952229261398315,1,0.8994718790054321,0.3834333121776581
9,0.9220647215843201,1,0.3402183949947357,1,0.9032121300697327,0.3807521164417267
10,0.9267476797103882,1,0.33112379908561707,1,0.9006786942481995,0.4160502552986145
11,0.9314581751823425,1,0.32144400477409363,1,0.9024790525436401,0.38034963607788086
12,0.9350096583366394,1,0.31318774819374084,1,0.9015017151832581,0.3833339810371399
13,0.9389423131942749,1,0.30485907196998596,1,0.9055094122886658,0.38403019309043884
14,0.9424576759338379,1,0.29641294479370117,1,0.90200275182724,0.40002748370170593
15,0.9463930130004883,1,0.28751546144485474,1,0.9019702076911926,0.40887776017189026
16,0.9486090540885925,1,0.28227323293685913,1,0.9018440842628479,0.4248814880847931
17,0.9518585205078125,1,0.2742041051387787,1,0.9005948305130005,0.4341375529766083
18,0.9547523260116577,1,0.2665750980377197,1,0.9009858965873718,0.4274371564388275
19,0.9573842883110046,1,0.2603367567062378,1,0.8988288044929504,0.4442492425441742
20,0.9596149325370789,1,0.25380533933639526,1,0.9004846811294556,0.43279311060905457
21,0.9616560935974121,1,0.24830922484397888,1,0.898750364780426,0.4307267367839813
22,0.9627940058708191,1,0.2449774593114853,1,0.8998956084251404,0.43938329815864563
23,0.9660232663154602,1,0.2352590411901474,1,0.9000986218452454,0.4943544864654541
24,0.9673708081245422,1,0.2321978360414505,1,0.8996999859809875,0.47517138719558716
25,0.9689313769340515,1,0.22673052549362183,1,0.8980682492256165,0.4907831847667694
26,0.9706250429153442,1,0.22224630415439606,1,0.8940398693084717,0.52320396900177
27,0.9718496203422546,1,0.21762123703956604,1,0.8973119854927063,0.5337490439414978
28,0.9734320640563965,1,0.2124282419681549,1,0.8983173370361328,0.5536882877349854
29,0.9747205972671509,1,0.2083805501461029,1,0.8922990560531616,0.593610942363739
30,0.9749194383621216,1,0.20794741809368134,1,0.8934377431869507,0.5518124103546143
31,0.9765544533729553,1,0.2024136185646057,1,0.8931518793106079,0.5217592716217041
32,0.9774129986763,1,0.1987149566411972,1,0.8912137150764465,0.6075607538223267
33,0.9785089492797852,1,0.19499140977859497,1,0.8886145949363708,0.643281877040863
34,0.9798369407653809,1,0.19025979936122894,1,0.8942136168479919,0.5064269304275513
35,0.980696976184845,1,0.18624751269817352,1,0.8903543949127197,0.6029215455055237
36,0.9811627268791199,1,0.18449944257736206,1,0.8932350277900696,0.6065546870231628
37,0.9822627902030945,1,0.17950420081615448,1,0.8909677267074585,0.6047332286834717
38,0.9830294251441956,1,0.17654964327812195,1,0.8898453116416931,0.6832891702651978
39,0.9834232330322266,1,0.17562949657440186,1,0.8920164108276367,0.5904741883277893
40,0.9846386909484863,1,0.17011606693267822,1,0.8904687166213989,0.6193138360977173
41,0.984826385974884,1,0.16990871727466583,1,0.8905590176582336,0.5978174805641174
42,0.9855130910873413,1,0.1663779467344284,1,0.8878674507141113,0.6590365171432495
43,0.9856740832328796,1,0.16607849299907684,1,0.8872735500335693,0.6045953631401062
44,0.9863709211349487,1,0.16160590946674347,1,0.8849824070930481,0.6360635161399841
45,0.9864280223846436,1,0.1618427336215973,1,0.8809464573860168,0.7389776110649109
46,0.9870333075523376,1,0.15980343520641327,1,0.883144736289978,0.7319353222846985
47,0.9874032139778137,1,0.15781819820404053,1,0.8872255682945251,0.6558496356010437
48,0.9880037903785706,1,0.15429267287254333,1,0.8869400024414062,0.6451592445373535
49,0.988223671913147,1,0.1531403362751007,1,0.88629549741745,0.7780003547668457
50,0.9884665012359619,1,0.15232761204242706,1,0.8871602416038513,0.633305013179779
51,0.9891635775566101,1,0.14890414476394653,1,0.885526716709137,0.7135059833526611
52,0.9892187118530273,1,0.14877356588840485,1,0.8801989555358887,0.7466839551925659
53,0.9892145991325378,1,0.14837008714675903,1,0.8802062273025513,0.6932504773139954
54,0.9895163774490356,1,0.1471388339996338,1,0.8840675950050354,0.6733567118644714
55,0.990175187587738,1,0.1440708190202713,1,0.8824811577796936,0.7143106460571289
56,0.9906149506568909,1,0.14120981097221375,1,0.8776906728744507,0.8587089776992798
57,0.9904460310935974,1,0.14248467981815338,1,0.8762780427932739,0.762421190738678
58,0.9905665516853333,1,0.1409611701965332,1,0.8776015639305115,0.8206494450569153
59,0.9909144639968872,1,0.13941316306591034,1,0.8797675967216492,0.7912147045135498
60,0.9910328984260559,1,0.13921372592449188,1,0.8788059949874878,0.8521199226379395
61,0.9914245009422302,1,0.1366528570652008,1,0.8798931837081909,0.8133479952812195
62,0.9913898706436157,1,0.13615311682224274,1,0.8751105666160583,0.8491371273994446
63,0.9916481375694275,1,0.13435699045658112,1,0.8825971484184265,0.7129382491111755
64,0.9916702508926392,1,0.13540895283222198,1,0.8803114295005798,0.7343433499336243
65,0.9919933676719666,1,0.13328883051872253,1,0.8809909820556641,0.8421602249145508
66,0.9918151497840881,1,0.13383452594280243,1,0.8818172216415405,0.8203569054603577
