epoch,auc,fold,loss,repeat,val_auc,val_loss
0,0.8926548957824707,1,0.4408313035964966,1,0.9338289499282837,0.35253971815109253
1,0.935505747795105,1,0.3494463562965393,1,0.9413535594940186,0.33527815341949463
2,0.9464278817176819,1,0.31985121965408325,1,0.950621485710144,0.30554354190826416
3,0.9531821012496948,1,0.29945316910743713,1,0.9533599019050598,0.29505807161331177
4,0.9585729241371155,1,0.282709538936615,1,0.9577328562736511,0.2866644859313965
5,0.9627631902694702,1,0.2681835889816284,1,0.9567437171936035,0.28650951385498047
6,0.9659972786903381,1,0.2563374638557434,1,0.9570538401603699,0.29144302010536194
7,0.9690889716148376,1,0.24497713148593903,1,0.9597147703170776,0.278563529253006
8,0.9716609120368958,1,0.23512564599514008,1,0.9622728824615479,0.2887190282344818
9,0.9742781519889832,1,0.22501720488071442,1,0.9606902003288269,0.2907198965549469
10,0.9755080342292786,1,0.21943531930446625,1,0.9633378386497498,0.26902538537979126
11,0.9774957895278931,1,0.2111310511827469,1,0.9624956846237183,0.28466713428497314
12,0.9791043996810913,1,0.2036200910806656,1,0.964504599571228,0.262407511472702
13,0.981173038482666,1,0.19472624361515045,1,0.9617807269096375,0.2784050703048706
14,0.9821335077285767,1,0.19002501666545868,1,0.963547945022583,0.2705345153808594
15,0.98360675573349,1,0.18303388357162476,1,0.9627941250801086,0.2971704602241516
16,0.984992265701294,1,0.17548474669456482,1,0.9646703600883484,0.280992716550827
17,0.9856765866279602,1,0.17230787873268127,1,0.9624632596969604,0.29297971725463867
18,0.9866008162498474,1,0.16713924705982208,1,0.9641143679618835,0.2988118529319763
19,0.9870703816413879,1,0.16464507579803467,1,0.9664568901062012,0.285630464553833
20,0.988166332244873,1,0.15850979089736938,1,0.9630948305130005,0.30243438482284546
21,0.9888812303543091,1,0.15462680160999298,1,0.9602190256118774,0.3680201470851898
22,0.9893205761909485,1,0.1517600417137146,1,0.9634693264961243,0.2911519706249237
23,0.9899436235427856,1,0.1479952335357666,1,0.9623203873634338,0.3421131372451782
24,0.9905043840408325,1,0.14465253055095673,1,0.9625014066696167,0.32275012135505676
25,0.9910353422164917,1,0.1406606137752533,1,0.9610616564750671,0.33081504702568054
26,0.9916461110115051,1,0.1366567462682724,1,0.9614084362983704,0.3514152765274048
27,0.9917510151863098,1,0.13628721237182617,1,0.9610344767570496,0.31381145119667053
28,0.9921077489852905,1,0.13287092745304108,1,0.9629301428794861,0.32767453789711
29,0.9925203323364258,1,0.1308048516511917,1,0.9573652744293213,0.3618435561656952
30,0.9929342865943909,1,0.12776722013950348,1,0.9622958302497864,0.34804782271385193
31,0.9933947920799255,1,0.12404537945985794,1,0.9564767479896545,0.4259208142757416
32,0.9935072064399719,1,0.1236446350812912,1,0.9613083004951477,0.3228335380554199
33,0.9937952160835266,1,0.12123231589794159,1,0.9585446119308472,0.3688170313835144
34,0.9942212104797363,1,0.11705437302589417,1,0.9547016620635986,0.46394431591033936
35,0.9939498901367188,1,0.11969337612390518,1,0.9589345455169678,0.36792245507240295
36,0.9945144057273865,1,0.11523427069187164,1,0.9608087539672852,0.3345489203929901
37,0.9948353171348572,1,0.11251860857009888,1,0.9582415223121643,0.40822163224220276
38,0.9952142834663391,1,0.10974442958831787,1,0.9586686491966248,0.4029914438724518
39,0.9953204393386841,1,0.10828292369842529,1,0.959511935710907,0.37146544456481934
40,0.9953000545501709,1,0.10923153162002563,1,0.960343599319458,0.35656753182411194
41,0.9954124093055725,1,0.10656076669692993,1,0.9550701975822449,0.4474130868911743
42,0.9956112504005432,1,0.10595985502004623,1,0.9581947326660156,0.3887164294719696
