epoch,fold,loss,mae,repeat,val_loss,val_mae
0,1,1.0513700246810913,0.9999816417694092,1,0.9095765352249146,0.8630126118659973
1,1,0.8693287372589111,0.824852705001831,1,0.8286126255989075,0.7860170006752014
2,1,0.8142629861831665,0.7732906341552734,1,0.8205714225769043,0.7811321020126343
3,1,0.7676525115966797,0.7295348644256592,1,0.7767817378044128,0.7398848533630371
4,1,0.7363626956939697,0.7004624009132385,1,0.7388153076171875,0.7038225531578064
5,1,0.7087057828903198,0.6744579076766968,1,0.7237856984138489,0.6902183294296265
6,1,0.6835924983024597,0.6505746245384216,1,0.6860751509666443,0.6535412669181824
7,1,0.6673903465270996,0.6352675557136536,1,0.680367648601532,0.6485979557037354
8,1,0.6470566987991333,0.6155709624290466,1,0.6819437742233276,0.6507251262664795
9,1,0.6400033831596375,0.6090096831321716,1,0.6963996887207031,0.6656161546707153
10,1,0.6227243542671204,0.5921062231063843,1,0.6545233726501465,0.6240726709365845
11,1,0.608104944229126,0.5777489542961121,1,0.6637805700302124,0.6335357427597046
12,1,0.5968271493911743,0.5666448473930359,1,0.6553928852081299,0.6253005862236023
13,1,0.5831887125968933,0.5531545877456665,1,0.648148775100708,0.6181668043136597
14,1,0.5779736638069153,0.5479877591133118,1,0.644042432308197,0.614055871963501
15,1,0.5661372542381287,0.5361636877059937,1,0.6292068362236023,0.5992316603660583
16,1,0.5521284937858582,0.5221395492553711,1,0.6243085265159607,0.5943142771720886
17,1,0.5483695864677429,0.5183234214782715,1,0.6348965764045715,0.6048024296760559
18,1,0.5362861752510071,0.5061323046684265,1,0.6137402057647705,0.5835473537445068
19,1,0.5317573547363281,0.5014829635620117,1,0.609926164150238,0.5795777440071106
20,1,0.519883930683136,0.4894762933254242,1,0.6298446655273438,0.5993651151657104
21,1,0.5199180245399475,0.48933160305023193,1,0.6212206482887268,0.5905173420906067
22,1,0.5086109042167664,0.4778224527835846,1,0.6004093885421753,0.5695526599884033
23,1,0.5045464038848877,0.47359395027160645,1,0.6047360897064209,0.5736992359161377
24,1,0.49544909596443176,0.46429702639579773,1,0.6060061454772949,0.5747556686401367
25,1,0.48461657762527466,0.4532501995563507,1,0.6519438028335571,0.6204909086227417
26,1,0.4831855893135071,0.4516259729862213,1,0.6070022583007812,0.575344443321228
27,1,0.48373112082481384,0.45192933082580566,1,0.6151806712150574,0.5832502841949463
28,1,0.47235673666000366,0.44030508399009705,1,0.5994701981544495,0.5673041939735413
29,1,0.46727675199508667,0.43500611186027527,1,0.5946072340011597,0.5622087121009827
30,1,0.46453040838241577,0.4319990873336792,1,0.606025755405426,0.5733853578567505
31,1,0.4557415544986725,0.42298421263694763,1,0.609296441078186,0.576397180557251
32,1,0.4625839293003082,0.42955711483955383,1,0.6349028944969177,0.6017411947250366
33,1,0.4542839527130127,0.4210043251514435,1,0.6160876750946045,0.5826946496963501
34,1,0.4423969089984894,0.4089020788669586,1,0.5951493978500366,0.5615557432174683
35,1,0.4414542019367218,0.40772563219070435,1,0.5935997366905212,0.5597382187843323
36,1,0.4401741623878479,0.40619003772735596,1,0.6089917421340942,0.5748910307884216
37,1,0.4412359893321991,0.406983345746994,1,0.5941125750541687,0.559727132320404
38,1,0.4342348873615265,0.3997410535812378,1,0.6056017875671387,0.5709623098373413
39,1,0.42862871289253235,0.3938685953617096,1,0.5965415835380554,0.5616592764854431
40,1,0.4239239990711212,0.38891223073005676,1,0.5880445241928101,0.5529242753982544
41,1,0.4161590039730072,0.3809029161930084,1,0.6162398457527161,0.5808275938034058
42,1,0.41980576515197754,0.38428664207458496,1,0.6038342714309692,0.5681765675544739
43,1,0.4188127815723419,0.3829975724220276,1,0.5989028215408325,0.5629463195800781
44,1,0.40779876708984375,0.37172365188598633,1,0.6050410270690918,0.5688403248786926
45,1,0.419175386428833,0.38281917572021484,1,0.5978713035583496,0.5613621473312378
