element,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
H,0.04353832080960274,-1.3572733402252197,0.04591678828001022,0.053533971309661865,0.020851124078035355,-0.1900685727596283,1.4829992055892944,0.47768422961235046,0.28215646743774414,-0.06790366768836975,-0.0446166917681694,0.1506718397140503,0.07467306405305862,-0.22141185402870178,-0.14028261601924896,-0.008504563011229038,-0.028146598488092422,-0.21981826424598694,-0.2768366038799286,0.5095567107200623,1.8538461923599243,0.6779508590698242,-0.13924896717071533,0.7651804685592651,-0.5186730027198792,-0.8286159038543701,-0.0721520334482193,-0.10400918871164322,-0.37711429595947266,0.2961874008178711
Li,0.3864307403564453,-1.323517918586731,-0.4025309979915619,-0.39202672243118286,0.6407833695411682,-0.26788005232810974,0.07893288135528564,0.8038429021835327,0.43017908930778503,0.10513665527105331,-0.7913638353347778,-0.6656171083450317,0.16770155727863312,-0.25896692276000977,-0.042325735092163086,0.19780883193016052,-0.06857664883136749,-0.6042953133583069,0.3705117404460907,0.2163679003715515,-0.15392188727855682,-1.088057518005371,-0.4318135678768158,-0.7871014475822449,0.4318746328353882,-1.4719067811965942,-0.3459233045578003,-0.43580836057662964,-0.19427606463432312,0.838787317276001
Be,-0.250629723072052,-0.27663835883140564,0.2887082099914551,0.22456100583076477,-0.7034844756126404,0.1680908054113388,0.2012639194726944,0.14122731983661652,0.3475865125656128,0.6407263278961182,-0.2609000504016876,0.18569308519363403,0.13217590749263763,-0.16355857253074646,0.11118243634700775,-0.06788735836744308,-0.018234888091683388,-0.089168980717659,0.1582823395729065,1.2276487350463867,0.627643346786499,-1.626777172088623,0.6351704001426697,0.3804130554199219,-1.9208256006240845,-0.8674985766410828,-1.1369459629058838,0.06790801137685776,-0.5207793712615967,0.1681375503540039
B,0.16745628416538239,-0.09187031537294388,-0.2925891578197479,0.050921481102705,-1.4120025634765625,-0.09760798513889313,-0.1164269745349884,1.3339977264404297,0.28115811944007874,0.3937857449054718,-0.11454468965530396,-0.12409596145153046,0.08286704868078232,-0.2146652787923813,0.17088863253593445,0.1811951845884323,-0.12090837955474854,0.17652946710586548,-0.626939058303833,-0.019493266940116882,1.3328381776809692,-0.6376473903656006,-0.3331162631511688,1.3013883829116821,0.16437289118766785,-0.539370059967041,-0.07253734022378922,0.027791742235422134,-0.22114074230194092,-0.949826180934906
C,0.5074283480644226,-0.9155321717262268,0.06621342897415161,-0.1776411384344101,-0.9187003374099731,-0.05394561588764191,-1.5313713550567627,-0.08739802241325378,-0.025247516110539436,0.11500833183526993,-0.12824684381484985,0.28663110733032227,0.16284379363059998,-0.12983830273151398,0.21248523890972137,0.15197892487049103,-0.08267660439014435,0.14546379446983337,0.02632426843047142,0.939130961894989,1.462719202041626,-0.02029968425631523,-0.08485099673271179,0.7582237720489502,0.32878029346466064,0.03174033761024475,0.39067983627319336,-0.033319901674985886,0.3296997547149658,0.07909616827964783
N,0.09155402332544327,-0.5186083316802979,-0.21894261240959167,0.07948843389749527,0.07456561923027039,0.1563606560230255,-0.7991011142730713,-0.48426657915115356,-0.11973675340414047,0.16102632880210876,-0.181732177734375,-0.4102737009525299,0.3426961898803711,-0.18238720297813416,-0.1967753916978836,-0.13791018724441528,-0.3957517743110657,-0.7116356492042542,0.19720005989074707,0.41083240509033203,1.1228303909301758,0.1510763019323349,-0.33284375071525574,0.1837378740310669,-0.12685924768447876,1.1856067180633545,-0.323175847530365,-0.17873841524124146,-0.7395761609077454,0.10623368620872498
O,0.1278473138809204,-0.1639479696750641,-0.07171349227428436,0.0864362046122551,-0.032228805124759674,0.08578605204820633,-0.20571564137935638,0.052737340331077576,0.07279689610004425,0.07586833834648132,-0.09564588963985443,-0.08459750562906265,0.13121694326400757,-0.11152487993240356,-0.014260735362768173,0.025618137791752815,-0.10186927020549774,-0.20194190740585327,0.10053819417953491,0.23955367505550385,0.12106047570705414,0.023390846326947212,-0.3753654956817627,0.08894599229097366,0.04267047345638275,2.2590172290802,-0.10333772003650665,-0.10708924382925034,-0.2023034244775772,0.11180785298347473
F,0.14474861323833466,0.18363167345523834,-0.03009709343314171,0.08968132734298706,0.2960788905620575,0.08481879532337189,0.07498550415039062,0.43136438727378845,0.050907883793115616,-0.08583901822566986,-0.09779947996139526,0.03862244635820389,0.06696293503046036,-0.03682122379541397,0.007975449785590172,0.02550056017935276,-0.16031837463378906,-0.45643138885498047,0.5258981585502625,0.2905319333076477,0.3540154695510864,0.04726734012365341,1.7112247943878174,0.1968754231929779,0.09085481613874435,2.6839370727539062,-0.04173412546515465,-0.06686066836118698,0.2803467810153961,-0.08733358979225159
Na,0.18389703333377838,-0.8709694147109985,0.12194673717021942,0.10182905197143555,1.6098653078079224,-1.3740333318710327,0.19273240864276886,0.22698694467544556,0.16845571994781494,0.39937925338745117,0.11351875960826874,0.3446798026561737,-0.1958327740430832,-0.5850110650062561,0.07901504635810852,0.16070228815078735,-0.8218400478363037,-0.158853679895401,-0.3788128197193146,0.22592727839946747,0.20721553266048431,-1.02825927734375,-1.1432616710662842,-1.4477100372314453,0.5777468681335449,-1.9039157629013062,-0.42687588930130005,-0.15305982530117035,-0.1092333048582077,1.0628025531768799
Mg,-0.02124069258570671,-0.23874478042125702,0.2022058665752411,0.1363828182220459,0.024230249226093292,0.26171231269836426,-0.2090039849281311,0.03094516322016716,0.13440611958503723,0.2413734346628189,0.027667906135320663,0.09551998972892761,-0.01925831474363804,-0.17711132764816284,0.13517878949642181,0.10734012722969055,-0.07071296125650406,-0.6530348658561707,0.046732477843761444,-1.728573203086853,0.007841236889362335,-0.2666063606739044,-0.5776561498641968,-0.12810532748699188,-0.18005946278572083,-0.658659815788269,-0.19193130731582642,0.029445260763168335,-0.41055548191070557,0.33084967732429504
Al,0.22507917881011963,0.22120167315006256,-0.17180249094963074,0.18691259622573853,-1.076418399810791,0.13814780116081238,-0.3180122375488281,0.1823197603225708,0.09903044998645782,0.005846772342920303,-0.05691101774573326,0.5928081274032593,0.039433613419532776,-0.1530444473028183,-0.41233518719673157,-0.10345316678285599,1.07334566116333,0.22483986616134644,0.48184269666671753,-0.7804301977157593,-0.22914816439151764,-0.18789872527122498,0.12198265641927719,0.9914610385894775,-0.3101669251918793,-0.3319094777107239,-0.4501587450504303,-0.009329639375209808,-0.24248871207237244,-0.6196136474609375
Si,0.5150941610336304,-0.1683642566204071,-0.037690650671720505,-0.1611439287662506,-0.6513937711715698,-0.13833899796009064,0.18770268559455872,-0.6159415245056152,0.09923089295625687,0.2652294337749481,-0.39195340871810913,-0.050484444946050644,0.027089156210422516,-0.00033722352236509323,-0.05110597610473633,0.13149531185626984,-0.1605576127767563,-0.31108152866363525,0.9796515703201294,-0.6568243503570557,0.3227859139442444,0.07475638389587402,-1.2779515981674194,1.4500137567520142,0.16512538492679596,-0.6384071707725525,-0.09092490375041962,-0.13197946548461914,0.9501606225967407,-0.5813195109367371
P,0.346407413482666,0.13081227242946625,-0.3081204295158386,0.5547633171081543,0.23009400069713593,0.1338334083557129,0.0007273368537425995,0.1701478809118271,-0.37040194869041443,1.0517617464065552,-0.08355915546417236,-0.45357102155685425,0.054028645157814026,0.17745965719223022,0.1319664567708969,-0.602037787437439,-0.506576657295227,-0.2793598175048828,0.9354761838912964,1.1251953840255737,0.27065688371658325,-0.167409285902977,-1.4869492053985596,0.6191537380218506,-0.7904322147369385,-0.8816229104995728,-0.08093635737895966,0.32913368940353394,-0.2675139904022217,-0.22571632266044617
S,0.04280281066894531,0.9991118907928467,-0.07326021790504456,-0.0215146467089653,0.5270634293556213,0.10161659121513367,-0.27083998918533325,0.5090033411979675,-0.06848102807998657,-0.09689551591873169,-0.2287030965089798,-0.014579620212316513,0.15549500286579132,-0.07956145703792572,0.023633837699890137,0.04406233876943588,0.10600648820400238,-1.2161526679992676,-0.049085766077041626,0.561765193939209,-0.056514352560043335,0.25178757309913635,-0.9444088935852051,0.6794025897979736,0.13019168376922607,0.15444114804267883,0.05203362554311752,-0.006871575489640236,0.2885070741176605,0.5148191452026367
Cl,0.1635580062866211,0.9842089414596558,-0.0716760978102684,-0.05408061295747757,0.9030702710151672,0.41345691680908203,0.013838112354278564,-0.42764848470687866,0.44341719150543213,0.12020181119441986,-0.17560571432113647,0.13948190212249756,0.1894073188304901,-0.0038565322756767273,0.056939076632261276,-0.2906339764595032,0.3654259145259857,-0.26995018124580383,-0.5494648814201355,0.7598055601119995,0.629916787147522,-0.23217397928237915,0.5125035643577576,0.4339454770088196,-0.09724810719490051,1.059068202972412,0.09167023003101349,-0.09529496729373932,-0.2683302164077759,0.06792381405830383
