species,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
H+,-0.33001336455345154,-0.27048400044441223,-0.17465311288833618,0.3622884154319763,-0.4454670250415802,0.08792808651924133,-0.12245194613933563,-0.28550100326538086,0.29709872603416443,0.7629754543304443,0.25210827589035034,-0.5743510127067566,-0.27226462960243225,-0.3945130705833435,0.0833887979388237,0.05881442129611969,-0.2899737060070038,-0.4763728380203247,-3.1197824478149414,-0.03311233967542648,0.22209422290325165,0.030279124155640602,0.11298063397407532,-0.004475705325603485,-0.7467724680900574,0.2685888707637787,-0.5924922823905945,-0.2459249347448349,-0.2847534418106079,-0.04070459306240082
H-,-0.22471143305301666,-0.11494916677474976,-0.1640244871377945,-0.8050370216369629,-0.38615086674690247,0.4611799716949463,0.4101978838443756,-0.33765271306037903,-0.12236279994249344,0.45949140191078186,0.0014950612094253302,-0.04729435220360756,-0.6337452530860901,-0.19811388850212097,-0.2803485691547394,-0.06912875175476074,0.3788435459136963,-0.05402399227023125,-0.5892381072044373,-0.10039962828159332,-0.5133180022239685,0.038325972855091095,0.08683455735445023,0.9484413266181946,-0.14305666089057922,0.09809637069702148,-1.84263014793396,-0.41951072216033936,-0.24457071721553802,-0.0804358422756195
H0+,-0.036810074001550674,0.20285391807556152,0.8254486322402954,0.21680375933647156,1.629804253578186,0.23685432970523834,0.8041561841964722,-0.25894272327423096,0.3153429627418518,-0.06983880698680878,0.37820059061050415,-0.03158147633075714,-0.5604058504104614,0.4847140610218048,1.865807294845581,-0.8536235690116882,0.670850932598114,0.23796221613883972,-0.750636875629425,-1.0293374061584473,0.0014219650765880942,-0.1656738966703415,0.6746571660041809,0.30078038573265076,-0.3145597577095032,-0.9751855134963989,0.017602289095520973,-0.7902981638908386,-0.015434058383107185,-1.0325425863265991
Li+,-0.5134040713310242,-0.32022008299827576,0.16176573932170868,-0.7459498643875122,-0.5314446687698364,-0.2737894654273987,-0.11121264845132828,0.19798091053962708,0.0026738017331808805,-0.6583055853843689,0.07381434738636017,0.2794213593006134,-0.40610286593437195,-0.28542932868003845,0.2377076894044876,0.13473625481128693,0.858950674533844,0.12624076008796692,-1.388909101486206,-0.35887908935546875,1.5005438327789307,-0.08381917327642441,0.38915306329727173,-0.12908266484737396,0.15722686052322388,-0.3102356493473053,0.5029715895652771,0.38023582100868225,0.357893705368042,0.10979761183261871
Be2+,0.2710404694080353,0.7176635265350342,-0.30986493825912476,-0.17385925352573395,0.3033263087272644,0.11516637355089188,0.259109765291214,0.29559341073036194,0.4224701523780823,-0.681566596031189,0.8512974381446838,0.47058895230293274,-1.1170200109481812,-0.06959037482738495,0.11116407811641693,-0.54774409532547,0.17952699959278107,-0.341251939535141,-1.247315526008606,0.012894581072032452,1.147497296333313,0.4206998646259308,0.648414134979248,0.3217214345932007,0.12422960251569748,-0.363404244184494,-1.5107260942459106,-0.03393571823835373,1.6003881692886353,1.0081210136413574
B+,0.10643540322780609,-0.1896401345729828,0.6478466987609863,1.1255072355270386,0.004985976032912731,0.4303382337093353,0.15590839087963104,1.4683723449707031,0.33336707949638367,-0.10629941523075104,-0.04051026701927185,0.4886215031147003,-0.6515108346939087,-0.4605683982372284,-0.9962953329086304,-0.0005493639037013054,0.3854665160179138,-1.8876545429229736,-0.4565734267234802,-0.04387878254055977,1.1346725225448608,-0.3264402151107788,-0.27565866708755493,0.7754449844360352,1.0200114250183105,0.025708341971039772,0.004523370880633593,-1.442363977432251,2.322314500808716,1.2948558330535889
B2+,-0.06169082224369049,-0.30850812792778015,0.33972883224487305,0.8212777972221375,-0.00457846699282527,0.21199384331703186,-0.25461578369140625,1.8866757154464722,1.0286263227462769,0.37727904319763184,1.0375471115112305,0.8804599642753601,-1.2083590030670166,-0.38310885429382324,-0.7051098346710205,-0.10586698353290558,0.061202771961688995,-0.9550172686576843,-0.45540884137153625,-0.2509847581386566,1.2930094003677368,-0.12865006923675537,0.23528102040290833,0.21998992562294006,0.09438343346118927,0.4767654240131378,-1.8449666500091553,-1.2479805946350098,1.3959187269210815,1.6092594861984253
B2-,-0.22045215964317322,0.7766283750534058,-0.041911546140909195,0.9387302994728088,-0.9575906991958618,-0.2450147122144699,-0.22194039821624756,-0.42581629753112793,-1.4387515783309937,-0.48409944772720337,0.1830553114414215,1.305387258529663,-0.4130183756351471,-0.4846213459968567,0.15337300300598145,-0.04194796085357666,-0.007424192503094673,0.023262377828359604,-0.0021646590903401375,-0.37799137830734253,-2.3769690990448,-0.14584121108055115,-0.017906518653035164,-0.682890772819519,-0.8190483450889587,-0.14787672460079193,0.08998020738363266,-0.04022295027971268,-0.3287840187549591,0.27214178442955017
B3-,-0.3612019419670105,-0.32193759083747864,-0.37093842029571533,0.9401056170463562,-0.11674000322818756,0.14883965253829956,-0.14042939245700836,0.5662795901298523,-0.5469838380813599,0.35583367943763733,0.275326132774353,1.319980263710022,-0.5724021196365356,-0.36951538920402527,0.9305993318557739,0.044378530234098434,-0.14644111692905426,1.3723058700561523,-0.20546136796474457,-0.3179876506328583,-1.9892961978912354,0.006223846226930618,0.15770062804222107,-0.35825714468955994,0.16490685939788818,-0.6191586256027222,0.300752729177475,0.038936272263526917,-0.12658359110355377,-0.10104580223560333
B3+,-0.03328113630414009,-0.3006386160850525,0.4649105668067932,0.3846069872379303,0.6075708270072937,0.11015967279672623,-0.12888047099113464,0.8908190727233887,0.24389585852622986,-0.34865403175354004,0.3758847117424011,0.15739206969738007,-0.5879434943199158,-0.06623359769582748,-0.4501161575317383,-0.11225084960460663,0.7800577878952026,0.44544878602027893,-2.0532636642456055,-0.29931050539016724,1.8826477527618408,-0.08905736356973648,0.053619079291820526,0.10884801298379898,0.6751348972320557,0.2028697282075882,-0.8526372909545898,0.38319435715675354,-0.7195754647254944,0.7406393885612488
B-,-0.4351959824562073,1.1384562253952026,-0.41783416271209717,0.18050238490104675,-0.20651264488697052,-0.12903451919555664,-0.2643493115901947,0.0034972582943737507,-2.4433717727661133,-0.4877866804599762,0.5906693339347839,0.6500641107559204,-0.37750232219696045,-0.04147729650139809,-0.12228365242481232,-0.0785904973745346,-0.008981776423752308,-1.0214334726333618,-0.018992681056261063,-0.05999176576733589,-1.4891631603240967,0.3097682595252991,0.018065189942717552,-0.5811709761619568,0.18041427433490753,0.01399686187505722,0.12274812906980515,-0.033056147396564484,-0.36997684836387634,0.7524335980415344
B0+,-0.46942541003227234,-0.9529529213905334,0.15619689226150513,1.4814929962158203,0.0714096799492836,0.22356367111206055,0.0011258719023317099,-0.3617548942565918,-0.9659061431884766,0.8948424458503723,-0.8978697061538696,1.461311936378479,-0.20063516497612,-0.6977395415306091,0.5838274359703064,-0.25747013092041016,1.2566218376159668,-0.15606652200222015,0.8621576428413391,-0.6815809607505798,-0.35611239075660706,0.8952010273933411,-0.1804078370332718,0.8796896934509277,1.6750359535217285,0.4475662112236023,-0.40341848134994507,0.27001428604125977,-0.6486350893974304,0.09330397099256516
C4-,0.04329729080200195,-0.6767364144325256,0.3968890309333801,1.123062014579773,-0.4177517890930176,0.4173681139945984,0.006158114410936832,0.49643585085868835,-1.4936307668685913,1.2807707786560059,-0.06552685052156448,0.36791858077049255,-0.5467323660850525,-0.3339565694332123,0.12419101595878601,-0.024968957528471947,0.2552303373813629,0.10725600272417068,0.6223143935203552,0.31936854124069214,-1.192446231842041,-0.30137041211128235,-0.0900624468922615,0.9304424524307251,0.10950660705566406,0.14542628824710846,-0.08254138380289078,1.114418864250183,-0.25203728675842285,0.29994654655456543
C-,-0.7560030817985535,-0.21258866786956787,0.17426681518554688,-0.1980334222316742,-0.6946755647659302,0.43811002373695374,0.07234179228544235,-0.47370272874832153,-2.0905826091766357,1.4848355054855347,0.9446883797645569,-0.5383193492889404,-0.022723369300365448,-0.18460477888584137,-0.1927136480808258,0.21210864186286926,0.2589510679244995,-0.26341867446899414,-0.055654097348451614,-0.20085440576076508,0.40353116393089294,-0.6649309396743774,0.23634034395217896,-0.541983962059021,-0.2646982669830322,0.20945952832698822,-0.15970449149608612,-0.4254651963710785,-0.377937912940979,0.7400649189949036
C4+,-0.6573162078857422,-0.3192855715751648,0.12639518082141876,0.6104966998100281,0.014382965862751007,0.5596368908882141,0.026416275650262833,-0.10145760327577591,-0.3800121545791626,0.5387192368507385,0.5135566592216492,-0.5781751275062561,-0.28662586212158203,-0.5933977365493774,-0.26496875286102295,0.11614697426557541,1.6133371591567993,1.6221376657485962,-1.4829425811767578,0.28096526861190796,1.5073750019073486,0.20695626735687256,0.2989864945411682,0.39927423000335693,-0.5837253928184509,-0.8616321682929993,0.1673823595046997,-0.34382784366607666,0.17636331915855408,0.08168669044971466
C+,-0.8024153113365173,0.13350191712379456,-0.13419580459594727,0.10451959818601608,0.25269198417663574,-0.970649242401123,0.6257414817810059,-0.23236769437789917,0.005081772338598967,0.521729588508606,0.7807400226593018,0.49390289187431335,-0.4401822090148926,-0.2556707262992859,-0.7924900054931641,-0.03068462200462818,0.3368886113166809,0.11067400872707367,-0.9051507711410522,0.6890477538108826,0.5120648741722107,0.1931067258119583,-0.24589823186397552,0.28666916489601135,-0.03589404746890068,-1.5590823888778687,0.6949016451835632,-0.5888449549674988,1.2116035223007202,-0.5049254894256592
C2+,-0.8663387894630432,-0.3634756803512573,-0.6499800682067871,-0.008259627968072891,-0.10770655423402786,-0.42275625467300415,0.5211601257324219,0.1238437294960022,-0.2085365653038025,0.5898801684379578,1.451632022857666,-0.20200471580028534,-0.712846577167511,-0.38836488127708435,-0.44449442625045776,-0.20182384550571442,0.607723593711853,1.0464565753936768,-1.3210043907165527,1.331987977027893,0.6312424540519714,0.1253586858510971,-0.45110952854156494,0.0711660087108612,-0.35225218534469604,-1.3962191343307495,1.506240725517273,0.17694559693336487,0.7179914116859436,-0.34643906354904175
C3+,-0.9480370879173279,-0.20739977061748505,-0.6154298186302185,0.14049673080444336,0.6695384383201599,-0.29587021470069885,0.10263048112392426,0.5992485284805298,-0.0407373420894146,0.3189029395580292,0.6302574276924133,-0.37514182925224304,-0.6641669273376465,-0.8945223689079285,0.313729465007782,-0.06842758506536484,0.877820611000061,0.9905651211738586,-1.9086095094680786,1.4289337396621704,1.2976092100143433,0.746834933757782,0.19786208868026733,0.577767550945282,-0.018680093809962273,-0.7181409597396851,0.5632638931274414,0.6928764581680298,0.3085389733314514,-0.3611767590045929
C2-,-0.5818907618522644,-0.5364367365837097,0.003080168506130576,1.0704395771026611,0.027286814525723457,0.4956611096858978,-0.23490968346595764,-1.0694754123687744,-2.28515887260437,1.4406408071517944,0.4533615708351135,0.1734759509563446,-0.8458078503608704,-0.21516160666942596,-0.34547170996665955,-0.3382733166217804,0.6293636560440063,0.1676226556301117,-0.011111516505479813,-0.27519646286964417,-0.18615470826625824,-0.01805710420012474,0.2704012095928192,-0.05104001984000206,-0.02181467041373253,-0.22461789846420288,0.2907561957836151,0.42636770009994507,-0.7658969759941101,-1.25420343875885
C3-,-0.8581137657165527,-0.5337139368057251,-0.02637740783393383,0.872307538986206,0.41819649934768677,0.1391362100839615,-0.1674686074256897,-0.18626688420772552,-1.6855849027633667,1.019117832183838,-0.537864089012146,0.8206656575202942,-0.2586713433265686,-1.027584195137024,-0.3841719925403595,-0.2529202401638031,0.5205992460250854,-0.3471614122390747,-0.44846612215042114,-0.20097623765468597,-1.404420256614685,-0.2385440170764923,-0.28696882724761963,0.3922806680202484,-0.12110558897256851,-0.07136543840169907,0.43792736530303955,0.39858871698379517,-0.5977842807769775,-0.6952691078186035
C0+,-0.32040882110595703,-0.5296779870986938,0.4053266644477844,0.6505265235900879,-0.588682234287262,0.08570218831300735,2.9392356872558594,-0.3118742108345032,-0.43694016337394714,0.7573856115341187,-0.21021191775798798,-0.2071460336446762,-0.2092178761959076,0.11876053363084793,-0.03633962571620941,-0.14494308829307556,0.8492254614830017,0.4318399131298065,-0.6664350628852844,0.2662927806377411,0.6755141019821167,0.12106753885746002,1.0176163911819458,0.2960144579410553,0.0864938274025917,-0.48269447684288025,0.10756750404834747,1.1450198888778687,-0.5204156041145325,-0.31463316082954407
N3-,-0.27067190408706665,-0.14628668129444122,-0.03691869229078293,0.25367459654808044,-0.38241177797317505,0.10844426602125168,-0.12683230638504028,-0.13568992912769318,0.46262821555137634,1.5751631259918213,0.26530197262763977,-0.2529396116733551,-0.3833344280719757,-0.36367180943489075,-0.09695586562156677,-0.15792202949523926,0.14876030385494232,-0.06438932567834854,0.14109821617603302,-0.132324680685997,-0.6503723859786987,-0.004634437616914511,0.09854590892791748,-0.3437141478061676,-0.1715441197156906,-0.14017190039157867,0.08838443458080292,0.23054830729961395,-0.26218533515930176,0.07698647677898407
N2+,-0.30908921360969543,0.13747826218605042,-0.04738537222146988,-0.16075953841209412,-0.34219852089881897,0.1790080964565277,0.7065140008926392,1.2834128141403198,0.09054815024137497,-0.929873526096344,0.4288281500339508,-0.21611982583999634,0.24132250249385834,-1.2679474353790283,-0.07779435068368912,-0.6929360032081604,-0.459560751914978,-0.958595335483551,-1.9871268272399902,1.0109951496124268,0.18519771099090576,-1.43027925491333,-1.3633273839950562,0.3618551790714264,0.8014039397239685,-1.956284761428833,1.6064369678497314,-0.7023099660873413,0.7076656222343445,0.6410759091377258
N3+,0.0360402837395668,-0.8306178450584412,0.3027784526348114,1.15878164768219,-0.5001794695854187,-0.8137940764427185,0.800579845905304,1.5463860034942627,0.7021508812904358,-1.5413634777069092,1.679612398147583,-0.624874472618103,-0.9695301651954651,-0.7742481827735901,-0.580436646938324,-0.4389876425266266,0.37747180461883545,-0.9826323390007019,-2.1591880321502686,0.4850493371486664,0.8629239797592163,0.5870146751403809,-0.6023685932159424,-0.1829538643360138,1.2912081480026245,-1.7107477188110352,0.6041091680526733,-0.5935364961624146,-1.1001179218292236,-1.1008076667785645
N-,-0.7695892453193665,0.004305729642510414,0.033129140734672546,0.08671518415212631,-0.08449087291955948,0.13480977714061737,-0.09834901988506317,0.8238571286201477,-0.512850821018219,0.006222961470484734,0.3698083758354187,-0.7015321850776672,-0.8590747117996216,-0.3926466107368469,-0.2505444288253784,0.1331321746110916,0.23427170515060425,0.43356040120124817,-0.1699019819498062,1.1775565147399902,0.03589225560426712,0.2254648506641388,-0.14450310170650482,-1.1815929412841797,0.3182184100151062,-0.515643298625946,-0.4242323637008667,-1.3385028839111328,-0.33671778440475464,-0.09250358492136002
N+,0.19909708201885223,-0.3839380145072937,-0.028498146682977676,0.42211049795150757,-0.31192031502723694,-0.0369933545589447,0.019948847591876984,0.7695319652557373,-0.13785861432552338,-0.7872421145439148,-0.13660462200641632,-0.7685269713401794,-0.1940305531024933,-0.9492624998092651,0.03454604744911194,-0.26689213514328003,0.5967837572097778,-0.7116560339927673,-0.8572939038276672,1.4517654180526733,0.46707025170326233,-0.15230520069599152,-0.7493341565132141,-0.6580998301506042,0.5383363962173462,-2.633826732635498,1.151849627494812,-0.33673834800720215,0.8671796917915344,0.5132390856742859
N2-,-0.6068365573883057,-0.3741990327835083,0.2038850635290146,0.4478624761104584,-0.30746492743492126,0.13286927342414856,-0.11822396516799927,-0.4066791832447052,-0.5756421089172363,1.1176916360855103,0.4281235337257385,-0.5486104488372803,1.366378903388977,-0.43628838658332825,0.058929506689310074,0.15281277894973755,0.39563319087028503,-0.04212256520986557,0.564643383026123,1.1033791303634644,-0.26748228073120117,0.13711285591125488,0.7303767800331116,-0.020081771537661552,0.055183082818984985,-0.8166217803955078,-0.17805463075637817,-0.6798719167709351,-0.248977392911911,-0.1490350216627121
N5+,0.005535612814128399,0.2513766884803772,0.7538557052612305,0.8928503394126892,-0.6956360936164856,-0.3386117219924927,0.37958425283432007,0.2935241758823395,1.598164439201355,-2.8816425800323486,0.607480525970459,-0.8497251272201538,-0.9008045196533203,-1.4612269401550293,-0.27276375889778137,-0.18540062010288239,0.6275988817214966,-0.8648847341537476,-4.459095001220703,0.8146893978118896,1.117021083831787,-0.08508113771677017,-0.03563271090388298,-1.1032421588897705,1.890321135520935,-1.5673619508743286,0.7729724049568176,-0.6394057273864746,-2.329019069671631,0.2513425946235657
N0+,-0.23901252448558807,0.0019847622606903315,0.49745914340019226,-0.1535520702600479,-0.5543162822723389,-0.12628786265850067,-0.24527648091316223,-0.7401185631752014,1.246453046798706,0.23885947465896606,0.7460882663726807,-0.7799426317214966,0.37012889981269836,0.1358194202184677,-0.5020977258682251,-0.28314706683158875,0.03903981298208237,-0.40546053647994995,-0.030162902548909187,1.5680495500564575,0.8083190321922302,0.5883568525314331,-0.9058706164360046,1.0591752529144287,1.0300647020339966,-2.3504316806793213,0.6828521490097046,-1.7045714855194092,-0.009667648002505302,0.7702115774154663
