epoch,auc,fold,loss,repeat,val_auc,val_loss
0,0.8342278599739075,1,0.5331947803497314,1,0.8840515613555908,0.45567449927330017
1,0.8913806080818176,1,0.44292521476745605,1,0.9021241068840027,0.4233226478099823
2,0.9134323000907898,1,0.4000347852706909,1,0.91771399974823,0.38964709639549255
3,0.9291313886642456,1,0.36552852392196655,1,0.9254810810089111,0.3876507878303528
4,0.9399864673614502,1,0.33806663751602173,1,0.933770477771759,0.36180901527404785
5,0.9489246010780334,1,0.31373536586761475,1,0.9356834292411804,0.3504178822040558
6,0.95702064037323,1,0.290507048368454,1,0.9413540363311768,0.34096887707710266
7,0.9631551504135132,1,0.2706323564052582,1,0.9374534487724304,0.3730999827384949
8,0.9685544371604919,1,0.2527279853820801,1,0.9407963752746582,0.37769049406051636
9,0.9728471040725708,1,0.23652690649032593,1,0.9401037693023682,0.3401506543159485
10,0.9770014882087708,1,0.22003602981567383,1,0.9411550164222717,0.37597954273223877
11,0.9802806973457336,1,0.20611581206321716,1,0.940387487411499,0.3840808868408203
12,0.9829700589179993,1,0.19329656660556793,1,0.9447546601295471,0.3717973828315735
13,0.9854193329811096,1,0.18116126954555511,1,0.9359835982322693,0.4532756209373474
14,0.9874466061592102,1,0.16993224620819092,1,0.9380403161048889,0.3953853249549866
15,0.9888191223144531,1,0.1620667725801468,1,0.9414688348770142,0.4257178008556366
16,0.9899377822875977,1,0.15460918843746185,1,0.9408934712409973,0.4111522436141968
17,0.9909377694129944,1,0.1482590287923813,1,0.9377779364585876,0.43480703234672546
18,0.9918620586395264,1,0.14188852906227112,1,0.9401857256889343,0.41260793805122375
19,0.9924687147140503,1,0.13752718269824982,1,0.9399896860122681,0.4466577172279358
20,0.993144690990448,1,0.13281267881393433,1,0.9361351132392883,0.4892774224281311
21,0.9936458468437195,1,0.12856321036815643,1,0.9396242499351501,0.4635809361934662
22,0.994271993637085,1,0.1234615296125412,1,0.9377747774124146,0.4819299280643463
23,0.9944309592247009,1,0.12198719382286072,1,0.9406833648681641,0.4514961838722229
24,0.995092511177063,1,0.1163560003042221,1,0.9360087513923645,0.49823081493377686
25,0.9955667853355408,1,0.1120336577296257,1,0.9364718198776245,0.5167187452316284
26,0.9956346750259399,1,0.11092844605445862,1,0.9416510462760925,0.41344404220581055
27,0.9959133863449097,1,0.10854731500148773,1,0.9405471682548523,0.4642294943332672
28,0.9959816336631775,1,0.10696448385715485,1,0.9438360929489136,0.4209803640842438
29,0.99644935131073,1,0.10266084223985672,1,0.9393836259841919,0.4678509831428528
30,0.9965978860855103,1,0.10057122260332108,1,0.9353417754173279,0.5473923087120056
31,0.9967145323753357,1,0.10025523602962494,1,0.9381315112113953,0.5012550950050354
32,0.996963381767273,1,0.09754595905542374,1,0.9324924945831299,0.588455080986023
33,0.997029721736908,1,0.09497839957475662,1,0.9377893209457397,0.477609246969223
34,0.9970852732658386,1,0.0955129861831665,1,0.9339146018028259,0.4870761036872864
35,0.9973073601722717,1,0.09247628599405289,1,0.9407058954238892,0.48476818203926086
36,0.9974446892738342,1,0.09107322245836258,1,0.9362375140190125,0.48176494240760803
37,0.9971996545791626,1,0.09187362343072891,1,0.9387038350105286,0.4826795756816864
38,0.9976423382759094,1,0.08801443129777908,1,0.9327296018600464,0.5531783103942871
39,0.9974682927131653,1,0.09103401750326157,1,0.9349190592765808,0.5358099937438965
40,0.997750997543335,1,0.08516787737607956,1,0.9417210817337036,0.48297905921936035
41,0.9978421926498413,1,0.08541682362556458,1,0.9277379512786865,0.6892927885055542
42,0.9978455305099487,1,0.08513682335615158,1,0.9354362487792969,0.5412981510162354
43,0.9980427622795105,1,0.0832480639219284,1,0.9400731921195984,0.45774561166763306
44,0.9979622960090637,1,0.08218521624803543,1,0.9432216882705688,0.42486798763275146
45,0.9981128573417664,1,0.08217278867959976,1,0.9328120946884155,0.5436811447143555
46,0.9980975985527039,1,0.08132392913103104,1,0.9305924773216248,0.6262885928153992
47,0.9981048703193665,1,0.08033104240894318,1,0.9337005019187927,0.5790226459503174
48,0.9981357455253601,1,0.07863364368677139,1,0.9307069182395935,0.5405303239822388
49,0.9983117580413818,1,0.07799141108989716,1,0.9306548833847046,0.6231051683425903
50,0.998327910900116,1,0.07762323319911957,1,0.9326352477073669,0.5988394021987915
51,0.998227596282959,1,0.07733465731143951,1,0.93431156873703,0.5484562516212463
52,0.9985085129737854,1,0.07432366162538528,1,0.9323517680168152,0.5626603364944458
53,0.9981655478477478,1,0.0780668780207634,1,0.9334582090377808,0.5592278838157654
