epoch,auc,fold,loss,repeat,val_auc,val_loss
0,0.9149968028068542,1,0.40362486243247986,1,0.9499196410179138,0.3185156583786011
1,0.9564650654792786,1,0.2954348921775818,1,0.9624756574630737,0.28975313901901245
2,0.9659062623977661,1,0.26357540488243103,1,0.9599759578704834,0.3025253117084503
3,0.971438467502594,1,0.24313803017139435,1,0.9704192280769348,0.24847538769245148
4,0.9753050208091736,1,0.2269817739725113,1,0.9728478193283081,0.23556695878505707
5,0.9773696660995483,1,0.21637152135372162,1,0.9735711812973022,0.23595020174980164
6,0.9808582663536072,1,0.2011590451002121,1,0.972793459892273,0.24484650790691376
7,0.9828687310218811,1,0.19150643050670624,1,0.9708346724510193,0.26723989844322205
8,0.9847930669784546,1,0.17997266352176666,1,0.9733790755271912,0.23815114796161652
9,0.9862697720527649,1,0.1722642332315445,1,0.9714353680610657,0.25033095479011536
10,0.9877296090126038,1,0.1636388599872589,1,0.9723731875419617,0.24810658395290375
11,0.9892416000366211,1,0.15429151058197021,1,0.9733701348304749,0.25687652826309204
12,0.989712119102478,1,0.151211217045784,1,0.973203718662262,0.2359662652015686
13,0.9906932711601257,1,0.14456768333911896,1,0.9738504886627197,0.24610823392868042
14,0.9917191863059998,1,0.1372864842414856,1,0.9736478924751282,0.25950974225997925
15,0.9924360513687134,1,0.13185922801494598,1,0.9724707007408142,0.26680517196655273
16,0.9928644299507141,1,0.1285601407289505,1,0.9677385091781616,0.30655989050865173
17,0.9933069944381714,1,0.12530723214149475,1,0.9685532450675964,0.3410046100616455
18,0.9937630891799927,1,0.12086247652769089,1,0.9692105054855347,0.30592262744903564
19,0.9942387342453003,1,0.1175822839140892,1,0.9710350036621094,0.2834203243255615
20,0.9944572448730469,1,0.11512251943349838,1,0.9703397154808044,0.29974791407585144
21,0.9948412775993347,1,0.11154237389564514,1,0.9694787263870239,0.3334692418575287
22,0.9951832294464111,1,0.10742367058992386,1,0.9695610404014587,0.29123684763908386
23,0.99531090259552,1,0.10607016831636429,1,0.9714162349700928,0.28339019417762756
24,0.9956572651863098,1,0.10391031950712204,1,0.9680393934249878,0.31937161087989807
25,0.9958887100219727,1,0.10083317756652832,1,0.9685370922088623,0.3093281388282776
26,0.9959834814071655,1,0.1000746637582779,1,0.9679619073867798,0.32613813877105713
27,0.9961004853248596,1,0.09899529814720154,1,0.9688001275062561,0.3099125027656555
28,0.996482253074646,1,0.09551311284303665,1,0.9663622379302979,0.33892810344696045
29,0.9967177510261536,1,0.09273730218410492,1,0.9618149995803833,0.39536067843437195
30,0.9966203570365906,1,0.09304285049438477,1,0.96639084815979,0.3517976999282837
31,0.9968990683555603,1,0.08968552947044373,1,0.9661698937416077,0.3392864167690277
32,0.9971350431442261,1,0.08819372206926346,1,0.9634047150611877,0.3999081552028656
33,0.9970186948776245,1,0.08788911253213882,1,0.9665017127990723,0.3620556890964508
34,0.9972715973854065,1,0.08626902103424072,1,0.9671524167060852,0.3604135513305664
