epoch,auc,fold,loss,repeat,val_auc,val_loss
0,0.8619950413703918,1,0.4644715189933777,1,0.9030367732048035,0.41400203108787537
1,0.9026932120323181,1,0.39606809616088867,1,0.9151065349578857,0.3862265348434448
2,0.9157276153564453,1,0.3694770634174347,1,0.9159689545631409,0.36741769313812256
3,0.9259418845176697,1,0.3469536006450653,1,0.9261189699172974,0.3590407073497772
4,0.932136595249176,1,0.3320293426513672,1,0.9296196103096008,0.34697315096855164
5,0.9374662637710571,1,0.3184150457382202,1,0.931509256362915,0.3353830575942993
6,0.9419922232627869,1,0.30675870180130005,1,0.9275302886962891,0.34635159373283386
7,0.9463275671005249,1,0.2949335277080536,1,0.9331432580947876,0.33243364095687866
8,0.9507769346237183,1,0.2831137180328369,1,0.9324573278427124,0.335000216960907
9,0.9537431597709656,1,0.2744435966014862,1,0.9302005171775818,0.3540683686733246
10,0.9578947424888611,1,0.2626779079437256,1,0.9275549054145813,0.37232115864753723
11,0.9601434469223022,1,0.2552029490470886,1,0.9306870102882385,0.3503431975841522
12,0.9632077813148499,1,0.2470330446958542,1,0.9291085600852966,0.3754130005836487
13,0.9658020734786987,1,0.23892000317573547,1,0.9289219379425049,0.37146273255348206
14,0.9681761860847473,1,0.23066605627536774,1,0.9239944815635681,0.3918150067329407
15,0.9697120189666748,1,0.2259167730808258,1,0.9280969500541687,0.3906266391277313
16,0.9722242951393127,1,0.2173095941543579,1,0.9210108518600464,0.40685370564460754
17,0.9736956357955933,1,0.2117924839258194,1,0.9272664189338684,0.39575693011283875
18,0.9753703474998474,1,0.20568902790546417,1,0.927606463432312,0.40963998436927795
19,0.9768446683883667,1,0.20021936297416687,1,0.9233613014221191,0.41688090562820435
20,0.9777108430862427,1,0.19682511687278748,1,0.9208232164382935,0.4604059159755707
21,0.9794548153877258,1,0.19035179913043976,1,0.9163540005683899,0.5358464121818542
22,0.9806057214736938,1,0.18558137118816376,1,0.9246256351470947,0.46877285838127136
23,0.9815565347671509,1,0.1818666309118271,1,0.9224526882171631,0.4761703312397003
24,0.9827041625976562,1,0.17661747336387634,1,0.9161747097969055,0.5149149894714355
25,0.9827597141265869,1,0.17764879763126373,1,0.9184324741363525,0.47312605381011963
26,0.9845836162567139,1,0.16835053265094757,1,0.9089256525039673,0.633837103843689
27,0.9853898882865906,1,0.16493287682533264,1,0.9167200922966003,0.5538172721862793
