epoch,fold,loss,mae,repeat,val_loss,val_mae
0,1,0.4616071283817291,0.41713452339172363,1,0.2906506657600403,0.2523145377635956
1,1,0.27048900723457336,0.23406891524791718,1,0.24128589034080505,0.20646703243255615
2,1,0.24047419428825378,0.20689396560192108,1,0.24888409674167633,0.2164250761270523
3,1,0.21909800171852112,0.18757565319538116,1,0.2277161031961441,0.1970718502998352
4,1,0.20504461228847504,0.1751474291086197,1,0.21299907565116882,0.1838178187608719
5,1,0.19472163915634155,0.16615034639835358,1,0.19985175132751465,0.1718580722808838
6,1,0.18495064973831177,0.15747524797916412,1,0.2016800493001938,0.1747082769870758
7,1,0.17567090690135956,0.1491439938545227,1,0.1891699731349945,0.1630667746067047
8,1,0.16827057301998138,0.1425500214099884,1,0.19105544686317444,0.16569648683071136
9,1,0.16239073872566223,0.13734866678714752,1,0.1818694770336151,0.15712374448776245
10,1,0.1569184958934784,0.13244853913784027,1,0.17966589331626892,0.15546345710754395
11,1,0.15086624026298523,0.12689869105815887,1,0.17367804050445557,0.14993561804294586
12,1,0.1464969664812088,0.12293730676174164,1,0.18242038786411285,0.15903939306735992
13,1,0.14235958456993103,0.11914432793855667,1,0.17853020131587982,0.15547014772891998
14,1,0.13881757855415344,0.11588934063911438,1,0.16681016981601715,0.14402039349079132
15,1,0.13472989201545715,0.11207228899002075,1,0.1687336415052414,0.14619168639183044
16,1,0.1320086568593979,0.10957565158605576,1,0.17042790353298187,0.14811262488365173
17,1,0.12971706688404083,0.10748858749866486,1,0.1646115481853485,0.14247150719165802
18,1,0.12562456727027893,0.10356472432613373,1,0.16069456934928894,0.13870659470558167
19,1,0.12336862087249756,0.1014600619673729,1,0.1607673019170761,0.13893145322799683
20,1,0.11958789825439453,0.09782794117927551,1,0.15987195074558258,0.1381826251745224
21,1,0.11742318421602249,0.09578993916511536,1,0.1631051003932953,0.14151440560817719
22,1,0.11651213467121124,0.0949755534529686,1,0.16296370327472687,0.14147743582725525
23,1,0.11450041085481644,0.09304725378751755,1,0.1560891717672348,0.13467290997505188
24,1,0.11263793706893921,0.09126190841197968,1,0.15919345617294312,0.13785099983215332
25,1,0.11060153692960739,0.08929131925106049,1,0.15832367539405823,0.13704565167427063
26,1,0.10855183005332947,0.08731035888195038,1,0.15354816615581512,0.13233330845832825
27,1,0.10674893110990524,0.08555849641561508,1,0.15662850439548492,0.13544520735740662
28,1,0.10545238107442856,0.08429299294948578,1,0.15644171833992004,0.135309100151062
29,1,0.10451360046863556,0.08339865505695343,1,0.15096338093280792,0.12985758483409882
30,1,0.10334695130586624,0.08225753158330917,1,0.15473391115665436,0.13365066051483154
31,1,0.1021692082285881,0.08110091090202332,1,0.16066396236419678,0.13961075246334076
32,1,0.10013481229543686,0.07908667623996735,1,0.14727623760700226,0.12622326612472534
33,1,0.09889692813158035,0.07787048071622849,1,0.15365365147590637,0.1326369345188141
34,1,0.09829298406839371,0.0772893875837326,1,0.1538786143064499,0.13288207352161407
35,1,0.09736130386590958,0.07638844102621078,1,0.14847253262996674,0.12751463055610657
36,1,0.09522592276334763,0.07429061084985733,1,0.14755071699619293,0.12662991881370544
37,1,0.09478450566530228,0.0738726481795311,1,0.14908112585544586,0.1281764954328537
38,1,0.09368152171373367,0.07278318703174591,1,0.14703570306301117,0.12613511085510254
39,1,0.0940828025341034,0.07318022102117538,1,0.14936873316764832,0.12845949828624725
40,1,0.09173931926488876,0.07085978239774704,1,0.15130163729190826,0.13043449819087982
41,1,0.09233039617538452,0.07147595286369324,1,0.14851392805576324,0.12767668068408966
42,1,0.09018807113170624,0.06935593485832214,1,0.1452084183692932,0.12437563389539719
43,1,0.08898378163576126,0.06815527379512787,1,0.14422017335891724,0.12340262532234192
44,1,0.08881575614213943,0.06801510602235794,1,0.15203048288822174,0.13123296201229095
45,1,0.08778588473796844,0.06700287014245987,1,0.1568046510219574,0.13602527976036072
46,1,0.08790029585361481,0.06713047623634338,1,0.1446538120508194,0.12389571964740753
47,1,0.08628036826848984,0.06553340703248978,1,0.1456790715456009,0.12494093179702759
48,1,0.0859186127781868,0.06518739461898804,1,0.14539781212806702,0.12465512007474899
49,1,0.08557227998971939,0.06484632939100266,1,0.14481309056282043,0.12409963458776474
50,1,0.08493330329656601,0.06422129273414612,1,0.14405691623687744,0.12334778904914856
51,1,0.08409825712442398,0.06339624524116516,1,0.1457972526550293,0.12509651482105255
52,1,0.08317588269710541,0.06248136982321739,1,0.14189238846302032,0.12119954079389572
53,1,0.08256253600120544,0.06187540292739868,1,0.14481952786445618,0.12414136528968811
54,1,0.08144994080066681,0.06078294292092323,1,0.14183439314365387,0.12116628140211105
55,1,0.0811377763748169,0.06048037111759186,1,0.14443789422512054,0.12378056347370148
56,1,0.08109747618436813,0.06044322997331619,1,0.1419072449207306,0.12126214057207108
57,1,0.08072570711374283,0.06008526682853699,1,0.14817047119140625,0.12751850485801697
58,1,0.07988983392715454,0.059254057705402374,1,0.14606830477714539,0.12543316185474396
59,1,0.07960449159145355,0.058981753885746,1,0.14739836752414703,0.12677280604839325
60,1,0.07938065379858017,0.058770280331373215,1,0.14179906249046326,0.12120071053504944
61,1,0.07846321910619736,0.057873472571372986,1,0.14100264012813568,0.12041577696800232
62,1,0.0780702605843544,0.05750595033168793,1,0.14331603050231934,0.12275522947311401
63,1,0.07725121080875397,0.05671391636133194,1,0.14270488917827606,0.12217977643013
64,1,0.07738819718360901,0.056872811168432236,1,0.1434646099805832,0.12294787913560867
65,1,0.07674313336610794,0.056240711361169815,1,0.143960639834404,0.12344980984926224
66,1,0.07674894481897354,0.056246962398290634,1,0.1415453851222992,0.1210402324795723
67,1,0.07556430250406265,0.055067066103219986,1,0.14103560149669647,0.12054702639579773
68,1,0.0752348080277443,0.05475464463233948,1,0.13977521657943726,0.11928635835647583
69,1,0.07559196650981903,0.05511915311217308,1,0.14513477683067322,0.12467317283153534
70,1,0.07431837916374207,0.05387800559401512,1,0.1404504030942917,0.1200217679142952
71,1,0.07465260475873947,0.05423864722251892,1,0.14218705892562866,0.12176784873008728
72,1,0.07405835390090942,0.05364973098039627,1,0.14194653928279877,0.12153928726911545
73,1,0.07370246946811676,0.05331899970769882,1,0.14562512934207916,0.12525081634521484
74,1,0.07296638935804367,0.05260558798909187,1,0.14571337401866913,0.12535689771175385
75,1,0.07297766953706741,0.05263261869549751,1,0.14079859852790833,0.12045532464981079
76,1,0.07357723265886307,0.053246401250362396,1,0.14059028029441833,0.12025494873523712
77,1,0.07238665223121643,0.05206816643476486,1,0.14026127755641937,0.11994417756795883
78,1,0.07191838324069977,0.05161195993423462,1,0.14587430655956268,0.12557020783424377
79,1,0.07209548354148865,0.051812976598739624,1,0.13901551067829132,0.11874286085367203
80,1,0.07146814465522766,0.051202788949012756,1,0.1386268585920334,0.1183597669005394
81,1,0.07144920527935028,0.05119700729846954,1,0.13751542568206787,0.11725922673940659
82,1,0.07129497826099396,0.05105909705162048,1,0.13843315839767456,0.11820148676633835
83,1,0.07091404497623444,0.050691403448581696,1,0.1374891847372055,0.11725816875696182
84,1,0.070456862449646,0.05024271830916405,1,0.13940612971782684,0.11919226497411728
85,1,0.06989859789609909,0.04970962926745415,1,0.1386367380619049,0.1184597760438919
86,1,0.06976620852947235,0.04960501194000244,1,0.14489537477493286,0.12473785132169724
87,1,0.06958957761526108,0.04945460334420204,1,0.1405026614665985,0.12037299573421478
88,1,0.06960950046777725,0.04949692264199257,1,0.1440371721982956,0.1239229217171669
89,1,0.06902187317609787,0.04892457276582718,1,0.1432083547115326,0.12312205135822296
90,1,0.06925376504659653,0.04917433112859726,1,0.13836929202079773,0.11829368770122528
91,1,0.06869654357433319,0.04864064231514931,1,0.13864931464195251,0.11859363317489624
92,1,0.06815268099308014,0.04811001569032669,1,0.13718803226947784,0.11715314537286758
93,1,0.068311907351017,0.04827919974923134,1,0.14518731832504272,0.1251477301120758
94,1,0.06837061047554016,0.04833831265568733,1,0.14049094915390015,0.12046121805906296
95,1,0.06744781136512756,0.04743743687868118,1,0.14443421363830566,0.12443128228187561
96,1,0.06748899817466736,0.047500282526016235,1,0.13917319476604462,0.11918548494577408
97,1,0.06673964112997055,0.046761661767959595,1,0.13799098134040833,0.11802031099796295
98,1,0.06701193749904633,0.04705290123820305,1,0.13767892122268677,0.1177140399813652
99,1,0.066473089158535,0.04652053117752075,1,0.13557285070419312,0.11562898755073547
0,2,0.4591234624385834,0.4155300557613373,1,0.2905315160751343,0.2529570758342743
1,2,0.271334171295166,0.23561619222164154,1,0.2551461458206177,0.22097566723823547
2,2,0.23789100348949432,0.20489609241485596,1,0.22927910089492798,0.19736623764038086
