species,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
H+,-0.3841553330421448,-0.2413107305765152,-0.0014656484127044678,0.3257639408111572,-0.1559867560863495,0.12173838913440704,0.03961019217967987,-0.3134695291519165,0.37684935331344604,0.6686683297157288,0.37148037552833557,-0.5505961179733276,-0.47027382254600525,-0.33327239751815796,0.47048667073249817,-0.11638019979000092,-0.09453301131725311,-0.4248329997062683,-3.4499073028564453,-0.26873376965522766,0.4111083745956421,0.0023361686617136,0.3026342988014221,0.060692206025123596,-0.7840473055839539,0.03656630218029022,-0.6166902780532837,-0.367458701133728,-0.23155325651168823,-0.20564772188663483
H-,-0.33039480447769165,-0.16170892119407654,-0.09414133429527283,-0.7563744783401489,-0.31415659189224243,0.4941958785057068,0.47290313243865967,-0.40919652581214905,-0.018192701041698456,0.5523733496665955,0.11942221224308014,-0.1533915400505066,-0.7982189059257507,-0.24651175737380981,-0.04614931344985962,-0.15085779130458832,0.4249763488769531,-0.11400756239891052,-1.4046962261199951,-0.24199585616588593,-0.34117749333381653,0.02433503046631813,0.21488937735557556,0.9760016202926636,-0.30715006589889526,0.019905470311641693,-1.9563277959823608,-0.5279774069786072,-0.28900331258773804,-0.18674468994140625
H0+,-0.16354252398014069,0.13938964903354645,0.8350623250007629,0.19647200405597687,1.5586503744125366,0.2502007484436035,0.8126501441001892,-0.3003067970275879,0.41190817952156067,-0.022045783698558807,0.5006469488143921,-0.10709953308105469,-0.748001217842102,0.378294974565506,1.97394597530365,-0.8840588331222534,0.7187573909759521,0.15899384021759033,-1.6443378925323486,-1.1157419681549072,0.28886568546295166,-0.16065751016139984,0.792978048324585,0.31891414523124695,-0.4405956268310547,-1.006305456161499,-0.13746154308319092,-0.82639479637146,-0.010286906734108925,-1.0320796966552734
Li+,-0.6585445404052734,-0.37367871403694153,0.22362419962882996,-0.8718048930168152,-0.538915753364563,-0.2812494933605194,-0.12426039576530457,0.2487727850675583,0.07820276916027069,-0.8526927828788757,0.2516247630119324,0.25314003229141235,-0.6311259269714355,-0.4013938307762146,0.20167359709739685,0.1368265599012375,0.7405422329902649,0.1652405858039856,-1.826623797416687,-0.38713574409484863,2.0636658668518066,-0.08135085552930832,0.4809853434562683,-0.1609411984682083,0.28343746066093445,-0.37026742100715637,0.41520023345947266,0.5195256471633911,0.2586120367050171,0.19598418474197388
Be2+,0.19459699094295502,0.594302773475647,-0.2687373459339142,-0.3986296057701111,0.14842113852500916,0.197575181722641,0.21169570088386536,0.22991228103637695,0.5508937239646912,-0.9226760268211365,0.9711495637893677,0.6769807934761047,-1.3377617597579956,-0.20187485218048096,0.028882496058940887,-0.6170350313186646,0.3673263192176819,-0.24341735243797302,-1.8237438201904297,-0.04230005666613579,1.6934826374053955,0.40210309624671936,0.7147923707962036,0.3479176461696625,0.37436550855636597,-0.38812556862831116,-1.6169512271881104,0.038080208003520966,1.4383183717727661,1.0482304096221924
B+,-0.01503773033618927,-0.4053471088409424,0.7029256224632263,1.496025562286377,0.0231950543820858,0.4659866690635681,0.1854393482208252,1.5248903036117554,0.21545171737670898,0.11998255550861359,-0.12983036041259766,0.8589505553245544,-0.796512246131897,-0.6385831236839294,-0.9540340304374695,-0.061276406049728394,0.6574589014053345,-1.981560468673706,-0.35410356521606445,-0.17944227159023285,1.1778815984725952,-0.14884719252586365,-0.2888038158416748,0.9825397729873657,1.3659213781356812,0.10620996356010437,-0.1893286406993866,-1.4830824136734009,2.320466995239258,1.4150946140289307
B2+,-0.08556945621967316,-0.4571138620376587,0.5145667195320129,1.2057652473449707,0.056234490126371384,0.31126827001571655,-0.22520890831947327,2.2614874839782715,1.0832797288894653,0.3783106207847595,1.0193814039230347,1.122145652770996,-1.4005749225616455,-0.5267599821090698,-0.9181180000305176,-0.13180136680603027,0.28177884221076965,-1.3413779735565186,-0.643041729927063,-0.309215784072876,1.6629211902618408,-0.143995001912117,0.17326860129833221,0.4448642134666443,0.4459318518638611,0.5109293460845947,-1.9373095035552979,-1.4866724014282227,1.7899367809295654,1.9826995134353638
B2-,-0.34532225131988525,0.7825815081596375,-0.148193821310997,1.1614935398101807,-1.0104296207427979,-0.2087322473526001,-0.28231486678123474,-0.35460996627807617,-1.7985525131225586,-0.40470588207244873,0.29608824849128723,1.6268806457519531,-0.5825226902961731,-0.5758160352706909,0.32126498222351074,-0.04239948093891144,-0.019268620759248734,0.22571757435798645,-0.03523546829819679,-0.46483704447746277,-2.893752336502075,-0.12511591613292694,0.016148244962096214,-0.7998533248901367,-0.7544212937355042,-0.26860228180885315,0.1613951325416565,-0.01610608585178852,-0.4094471037387848,0.2693246603012085
B3-,-0.5636253356933594,-0.19375507533550262,-0.38898029923439026,1.2620675563812256,-0.2970190942287445,0.17358864843845367,-0.25951701402664185,0.48793095350265503,-1.060535192489624,0.3741546869277954,0.2690252959728241,1.7248852252960205,-0.7370235919952393,-0.5783695578575134,0.962029755115509,0.02003839612007141,-0.08425038307905197,1.4109442234039307,-0.22575825452804565,-0.41100096702575684,-2.710665464401245,-0.04486062005162239,0.14125895500183105,-0.4938848614692688,-0.01439504325389862,-0.6730476021766663,0.4118836522102356,0.06355482339859009,-0.2825721502304077,-0.13937681913375854
B3+,-0.08347443491220474,-0.4585874676704407,0.6277977824211121,0.6754958033561707,0.6128389835357666,0.19824552536010742,-0.1637789011001587,1.40511155128479,0.4996120035648346,-0.3651004135608673,0.597887396812439,0.48878467082977295,-0.8956816792488098,-0.19072288274765015,-0.6498186588287354,-0.16128018498420715,0.8458472490310669,0.11984813213348389,-2.2573392391204834,-0.30497828125953674,2.392148494720459,-0.11293570697307587,0.0848936140537262,0.2506701350212097,0.6852483749389648,0.2684735059738159,-1.1881119012832642,0.20171239972114563,-0.38528940081596375,1.2712938785552979
